scenarioId,surface,ok,useCase,budget,priority,volume,team,inputTokens,outputTokens,recommendedTool,alternatives,pricingText,confidenceText,freshnessText,explanation,resultText,screenshot,error
CALC-tiny,calculator,true,,,,,,5000,1000,Find your cheapest viable AI setup,"• You’re paying for GPT-4o, Claude, or a subscription and want a cheaper equivalent. | • You need a fast estimate before choosing between API and subscription plans. | • You want one clear next step after seeing your projected monthly spend. | Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API",Cost,,,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost Find your cheapest viable AI setup Estimate your real monthly AI spend and immediately see lower-cost alternatives. Recommendations are based on use case, usage level, and cost sensitivity.","$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost Find your cheapest viable AI setup Estimate your real monthly AI spend and immediately see lower-cost alternatives. Recommendations are based on use case, usage level, and cost sensitivity. USE THIS IF… • You’re paying for GPT-4o, Claude, or a subscription and want a cheaper equivalent. • You need a fast estimate before choosing between API and subscription plans. • You want one clear next step after seeing your projected monthly spend. Start with a common usage scenario Pick a preset to prefill the calculator. Solo Founder Lean daily usage for shipping, support, and planning. LEAN STARTUP Startup Support Bot High-volume support and FAQ automation. AUTOMATION SUPPORT Developer Coding Workflow Coding, refactoring, and debugging with balanced quality. CODING DAILY Content Team Writing-heavy workflow for briefs, drafts, and edits. WRITING TEAM Usage Preset Light (chat, occasional) Moderate (daily use) Heavy (power user) Scale (building products) AI Model GPT-4o — OpenAI GPT-4o Mini — OpenAI Claude 3.5 Sonnet — Anthropic Claude 3.5 Haiku — Anthropic Gemini 1.5 Pro — Google Gemini 1.5 Flash — Google Mistral Large — Mistral Mistral Small — Mistral Llama 3.1 70B — Meta (self-hosted) DeepSeek V3 — DeepSeek Groq (Llama 3.1 70B) — Groq GPT-4 Turbo — OpenAI o3 — OpenAI o3-mini — OpenAI Claude 3 Opus — Anthropic Claude 3 Haiku — Anthropic Gemini 2.5 Pro — Google Gemini 2.5 Flash — Google Codestral ",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/CALC-tiny.png,
CALC-light,calculator,true,,,,,,50000,10000,Find your cheapest viable AI setup,"• You’re paying for GPT-4o, Claude, or a subscription and want a cheaper equivalent. | • You need a fast estimate before choosing between API and subscription plans. | • You want one clear next step after seeing your projected monthly spend. | Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API",Cost,,,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost Find your cheapest viable AI setup Estimate your real monthly AI spend and immediately see lower-cost alternatives. Recommendations are based on use case, usage level, and cost sensitivity.","$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost Find your cheapest viable AI setup Estimate your real monthly AI spend and immediately see lower-cost alternatives. Recommendations are based on use case, usage level, and cost sensitivity. USE THIS IF… • You’re paying for GPT-4o, Claude, or a subscription and want a cheaper equivalent. • You need a fast estimate before choosing between API and subscription plans. • You want one clear next step after seeing your projected monthly spend. Start with a common usage scenario Pick a preset to prefill the calculator. Solo Founder Lean daily usage for shipping, support, and planning. LEAN STARTUP Startup Support Bot High-volume support and FAQ automation. AUTOMATION SUPPORT Developer Coding Workflow Coding, refactoring, and debugging with balanced quality. CODING DAILY Content Team Writing-heavy workflow for briefs, drafts, and edits. WRITING TEAM Usage Preset Light (chat, occasional) Moderate (daily use) Heavy (power user) Scale (building products) AI Model GPT-4o — OpenAI GPT-4o Mini — OpenAI Claude 3.5 Sonnet — Anthropic Claude 3.5 Haiku — Anthropic Gemini 1.5 Pro — Google Gemini 1.5 Flash — Google Mistral Large — Mistral Mistral Small — Mistral Llama 3.1 70B — Meta (self-hosted) DeepSeek V3 — DeepSeek Groq (Llama 3.1 70B) — Groq GPT-4 Turbo — OpenAI o3 — OpenAI o3-mini — OpenAI Claude 3 Opus — Anthropic Claude 3 Haiku — Anthropic Gemini 2.5 Pro — Google Gemini 2.5 Flash — Google Codestral ",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/CALC-light.png,
CALC-medium,calculator,true,,,,,,500000,100000,Find your cheapest viable AI setup,"• You’re paying for GPT-4o, Claude, or a subscription and want a cheaper equivalent. | • You need a fast estimate before choosing between API and subscription plans. | • You want one clear next step after seeing your projected monthly spend. | Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API",Cost,,,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost Find your cheapest viable AI setup Estimate your real monthly AI spend and immediately see lower-cost alternatives. Recommendations are based on use case, usage level, and cost sensitivity.","$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost Find your cheapest viable AI setup Estimate your real monthly AI spend and immediately see lower-cost alternatives. Recommendations are based on use case, usage level, and cost sensitivity. USE THIS IF… • You’re paying for GPT-4o, Claude, or a subscription and want a cheaper equivalent. • You need a fast estimate before choosing between API and subscription plans. • You want one clear next step after seeing your projected monthly spend. Start with a common usage scenario Pick a preset to prefill the calculator. Solo Founder Lean daily usage for shipping, support, and planning. LEAN STARTUP Startup Support Bot High-volume support and FAQ automation. AUTOMATION SUPPORT Developer Coding Workflow Coding, refactoring, and debugging with balanced quality. CODING DAILY Content Team Writing-heavy workflow for briefs, drafts, and edits. WRITING TEAM Usage Preset Light (chat, occasional) Moderate (daily use) Heavy (power user) Scale (building products) AI Model GPT-4o — OpenAI GPT-4o Mini — OpenAI Claude 3.5 Sonnet — Anthropic Claude 3.5 Haiku — Anthropic Gemini 1.5 Pro — Google Gemini 1.5 Flash — Google Mistral Large — Mistral Mistral Small — Mistral Llama 3.1 70B — Meta (self-hosted) DeepSeek V3 — DeepSeek Groq (Llama 3.1 70B) — Groq GPT-4 Turbo — OpenAI o3 — OpenAI o3-mini — OpenAI Claude 3 Opus — Anthropic Claude 3 Haiku — Anthropic Gemini 2.5 Pro — Google Gemini 2.5 Flash — Google Codestral ",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/CALC-medium.png,
CALC-heavy,calculator,true,,,,,,5000000,1000000,Find your cheapest viable AI setup,"• You’re paying for GPT-4o, Claude, or a subscription and want a cheaper equivalent. | • You need a fast estimate before choosing between API and subscription plans. | • You want one clear next step after seeing your projected monthly spend. | Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API",Cost,,,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost Find your cheapest viable AI setup Estimate your real monthly AI spend and immediately see lower-cost alternatives. Recommendations are based on use case, usage level, and cost sensitivity.","$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost Find your cheapest viable AI setup Estimate your real monthly AI spend and immediately see lower-cost alternatives. Recommendations are based on use case, usage level, and cost sensitivity. USE THIS IF… • You’re paying for GPT-4o, Claude, or a subscription and want a cheaper equivalent. • You need a fast estimate before choosing between API and subscription plans. • You want one clear next step after seeing your projected monthly spend. Start with a common usage scenario Pick a preset to prefill the calculator. Solo Founder Lean daily usage for shipping, support, and planning. LEAN STARTUP Startup Support Bot High-volume support and FAQ automation. AUTOMATION SUPPORT Developer Coding Workflow Coding, refactoring, and debugging with balanced quality. CODING DAILY Content Team Writing-heavy workflow for briefs, drafts, and edits. WRITING TEAM Usage Preset Light (chat, occasional) Moderate (daily use) Heavy (power user) Scale (building products) AI Model GPT-4o — OpenAI GPT-4o Mini — OpenAI Claude 3.5 Sonnet — Anthropic Claude 3.5 Haiku — Anthropic Gemini 1.5 Pro — Google Gemini 1.5 Flash — Google Mistral Large — Mistral Mistral Small — Mistral Llama 3.1 70B — Meta (self-hosted) DeepSeek V3 — DeepSeek Groq (Llama 3.1 70B) — Groq GPT-4 Turbo — OpenAI o3 — OpenAI o3-mini — OpenAI Claude 3 Opus — Anthropic Claude 3 Haiku — Anthropic Gemini 2.5 Pro — Google Gemini 2.5 Flash — Google Codestral ",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/CALC-heavy.png,
S0001,decision-engine,true,writing,under $20,cheapest,light (a few/day),solo,,,AI Decision Engine,Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API | DeepSeek vs GPT-4o | Best for Coding | Under $20/month,Cost,,,$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it?,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. Get your optimal AI stack. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it? Light A few times per week Moderate Daily, a few hours Heavy All day, most days Not sure which AI is cheapest for your use case? Find out in 30 seconds — no signup required. Calculate Cost Decision Engine → Tools Cost Calculator Decision Engine Comparisons Claude vs GPT-4o ChatGPT vs Cursor Subscription vs API DeepSeek vs GPT-4o Best Lists Best for Coding Under $20/month Best Free Tools Guides Reduce AI Costs Token Cost Explained API vs Subscription All Resources Pricing Data Pricing Changelog Browse AI Types Terms of Service·Media Kit © 2026 OverpayingForAI · A product by Aniruddh Consultancy Pty Ltd · Built by Aniruddh All content © 2026 Aniruddh Consultancy Pty Ltd. Unauthorized reproduction prohibited.",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/S0001.png,
S0002,decision-engine,true,writing,under $20,cheapest,light (a few/day),startup,,,AI Decision Engine,Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API | DeepSeek vs GPT-4o | Best for Coding | Under $20/month,Cost,,,$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it?,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. Get your optimal AI stack. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it? Light A few times per week Moderate Daily, a few hours Heavy All day, most days Not sure which AI is cheapest for your use case? Find out in 30 seconds — no signup required. Calculate Cost Decision Engine → Tools Cost Calculator Decision Engine Comparisons Claude vs GPT-4o ChatGPT vs Cursor Subscription vs API DeepSeek vs GPT-4o Best Lists Best for Coding Under $20/month Best Free Tools Guides Reduce AI Costs Token Cost Explained API vs Subscription All Resources Pricing Data Pricing Changelog Browse AI Types Terms of Service·Media Kit © 2026 OverpayingForAI · A product by Aniruddh Consultancy Pty Ltd · Built by Aniruddh All content © 2026 Aniruddh Consultancy Pty Ltd. Unauthorized reproduction prohibited.",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/S0002.png,
S0003,decision-engine,true,writing,under $20,cheapest,light (a few/day),team,,,AI Decision Engine,Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API | DeepSeek vs GPT-4o | Best for Coding | Under $20/month,Cost,,,$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it?,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. Get your optimal AI stack. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it? Light A few times per week Moderate Daily, a few hours Heavy All day, most days Not sure which AI is cheapest for your use case? Find out in 30 seconds — no signup required. Calculate Cost Decision Engine → Tools Cost Calculator Decision Engine Comparisons Claude vs GPT-4o ChatGPT vs Cursor Subscription vs API DeepSeek vs GPT-4o Best Lists Best for Coding Under $20/month Best Free Tools Guides Reduce AI Costs Token Cost Explained API vs Subscription All Resources Pricing Data Pricing Changelog Browse AI Types Terms of Service·Media Kit © 2026 OverpayingForAI · A product by Aniruddh Consultancy Pty Ltd · Built by Aniruddh All content © 2026 Aniruddh Consultancy Pty Ltd. Unauthorized reproduction prohibited.",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/S0003.png,
S0004,decision-engine,true,writing,under $20,cheapest,medium (hourly),solo,,,AI Decision Engine,Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API | DeepSeek vs GPT-4o | Best for Coding | Under $20/month,Cost,,,$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it?,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. Get your optimal AI stack. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it? Light A few times per week Moderate Daily, a few hours Heavy All day, most days Not sure which AI is cheapest for your use case? Find out in 30 seconds — no signup required. Calculate Cost Decision Engine → Tools Cost Calculator Decision Engine Comparisons Claude vs GPT-4o ChatGPT vs Cursor Subscription vs API DeepSeek vs GPT-4o Best Lists Best for Coding Under $20/month Best Free Tools Guides Reduce AI Costs Token Cost Explained API vs Subscription All Resources Pricing Data Pricing Changelog Browse AI Types Terms of Service·Media Kit © 2026 OverpayingForAI · A product by Aniruddh Consultancy Pty Ltd · Built by Aniruddh All content © 2026 Aniruddh Consultancy Pty Ltd. Unauthorized reproduction prohibited.",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/S0004.png,
S0005,decision-engine,true,writing,under $20,cheapest,medium (hourly),startup,,,AI Decision Engine,Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API | DeepSeek vs GPT-4o | Best for Coding | Under $20/month,Cost,,,$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it?,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. Get your optimal AI stack. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it? Light A few times per week Moderate Daily, a few hours Heavy All day, most days Not sure which AI is cheapest for your use case? Find out in 30 seconds — no signup required. Calculate Cost Decision Engine → Tools Cost Calculator Decision Engine Comparisons Claude vs GPT-4o ChatGPT vs Cursor Subscription vs API DeepSeek vs GPT-4o Best Lists Best for Coding Under $20/month Best Free Tools Guides Reduce AI Costs Token Cost Explained API vs Subscription All Resources Pricing Data Pricing Changelog Browse AI Types Terms of Service·Media Kit © 2026 OverpayingForAI · A product by Aniruddh Consultancy Pty Ltd · Built by Aniruddh All content © 2026 Aniruddh Consultancy Pty Ltd. Unauthorized reproduction prohibited.",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/S0005.png,
S0006,decision-engine,true,writing,under $20,cheapest,medium (hourly),team,,,AI Decision Engine,Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API | DeepSeek vs GPT-4o | Best for Coding | Under $20/month,Cost,,,$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it?,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. Get your optimal AI stack. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it? Light A few times per week Moderate Daily, a few hours Heavy All day, most days Not sure which AI is cheapest for your use case? Find out in 30 seconds — no signup required. Calculate Cost Decision Engine → Tools Cost Calculator Decision Engine Comparisons Claude vs GPT-4o ChatGPT vs Cursor Subscription vs API DeepSeek vs GPT-4o Best Lists Best for Coding Under $20/month Best Free Tools Guides Reduce AI Costs Token Cost Explained API vs Subscription All Resources Pricing Data Pricing Changelog Browse AI Types Terms of Service·Media Kit © 2026 OverpayingForAI · A product by Aniruddh Consultancy Pty Ltd · Built by Aniruddh All content © 2026 Aniruddh Consultancy Pty Ltd. Unauthorized reproduction prohibited.",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/S0006.png,
S0007,decision-engine,true,writing,under $20,cheapest,heavy (continuous),solo,,,AI Decision Engine,Cost Calculator | Decision Engine | Claude vs GPT-4o | ChatGPT vs Cursor | Subscription vs API | DeepSeek vs GPT-4o | Best for Coding | Under $20/month,Cost,,,$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it?,"$ OverpayingForAI Calculator Decision Engine Comparisons AI Types Resources Calculate Cost AI Decision Engine Answer 5 questions. Get your optimal AI stack. 1 Use case 2 Budget 3 Usage 4 Quality 5 Free tier How often will you use it? Light A few times per week Moderate Daily, a few hours Heavy All day, most days Not sure which AI is cheapest for your use case? Find out in 30 seconds — no signup required. Calculate Cost Decision Engine → Tools Cost Calculator Decision Engine Comparisons Claude vs GPT-4o ChatGPT vs Cursor Subscription vs API DeepSeek vs GPT-4o Best Lists Best for Coding Under $20/month Best Free Tools Guides Reduce AI Costs Token Cost Explained API vs Subscription All Resources Pricing Data Pricing Changelog Browse AI Types Terms of Service·Media Kit © 2026 OverpayingForAI · A product by Aniruddh Consultancy Pty Ltd · Built by Aniruddh All content © 2026 Aniruddh Consultancy Pty Ltd. Unauthorized reproduction prohibited.",/home/runner/workspace/out/audits/2026-04-18_19-07-13/decision/screenshots/S0007.png,
